id,alien_contact_prob
6253,0.0
4685,0.0
1732,0.95
4743,0.95
4522,0.95
6341,0.0
577,0.95
5203,0.0
6364,0.95
440,0.95
2751,0.95
7488,0.95
5273,0.0
5654,0.95
4000,0.95
6034,0.0
583,0.95
9931,0.95
7052,0.95
8159,0.95
9897,0.95
2250,0.95
4641,0.95
9486,0.95
4948,0.0
9921,0.95
1964,0.95
8244,0.95
6591,0.0
8848,0.0
322,0.95
2679,0.95
4626,0.95
4950,0.0
8329,0.95
3338,0.95
5590,0.0
252,0.95
3974,0.95
6631,0.95
5548,0.95
36,0.95
8363,0.0
1514,0.95
9318,0.95
40,0.0
4820,0.95
3466,0.95
1761,0.95
2305,0.95
3724,0.95
8285,0.95
4994,0.95
8128,0.95
3033,0.95
7939,0.95
3040,0.95
9656,0.0
2546,0.95
2593,0.0
1189,0.95
7967,0.95
6078,0.0
108,0.95
1316,0.95
8188,0.0
2754,0.95
9754,0.0
6232,0.95
2877,0.95
5324,0.95
800,0.95
3571,0.0
2895,0.0
2928,0.0
8179,0.95
972,0.95
6688,0.95
8576,0.95
2021,0.95
9055,0.0
953,0.95
5360,0.95
3858,0.95
5862,0.95
3146,0.0
3306,0.95
3007,0.95
9002,0.95
7771,0.95
7439,0.95
7943,0.95
9239,0.95
1057,0.0
3155,0.95
3788,0.0
9190,0.95
7826,0.95
7540,0.95
7232,0.95
765,0.95
5020,0.0
4904,0.95
8094,0.95
6844,0.0
2166,0.95
1863,0.0
7851,0.0
9124,0.95
2341,0.95
5528,0.95
6744,0.0
4004,0.0
1124,0.0
8710,0.0
4050,0.95
7641,0.0
766,0.0
2345,0.0
4072,0.95
7217,0.95
4217,0.0
7953,0.95
5971,0.95
3351,0.95
4696,0.95
3400,0.95
4082,0.95
9150,0.95
1225,0.95
6293,0.95
3123,0.95
511,0.95
5795,0.95
8182,0.95
9418,0.0
97,0.95
6682,0.0
1513,0.95
8792,0.0
120,0.95
7792,0.95
6518,0.0
34,0.95
7888,0.95
6831,0.0
5422,0.95
1069,0.95
1348,0.95
4748,0.0
6006,0.0
6040,0.95
3818,0.0
8447,0.0
5270,0.0
6898,0.0
5310,0.0
32,0.95
5675,0.0
4387,0.95
30,0.95
4203,0.0
7508,0.95
736,0.95
2068,0.95
107,0.95
9645,0.95
8895,0.95
8021,0.95
2233,0.95
994,0.0
9413,0.95
7059,0.95
6790,0.95
361,0.0
305,0.0
2628,0.95
8966,0.95
4514,0.95
5911,0.95
8314,0.95
3101,0.95
5704,0.95
3899,0.95
5441,0.0
7931,0.0
622,0.95
7236,0.95
2499,0.95
714,0.0
8404,0.0
2856,0.0
4270,0.95
2909,0.95
8081,0.95
4517,0.95
1262,0.95
3161,0.0
971,0.0
3913,0.95
5199,0.0
8847,0.0
260,0.95
3791,0.95
9203,0.0
488,0.95
7908,0.0
519,0.95
8343,0.95
312,0.95
3232,0.0
7933,0.95
7458,0.95
9784,0.95
5184,0.0
8077,0.95
6502,0.95
6791,0.95
7773,0.95
2738,0.95
7842,0.95
6262,0.0
8206,0.95
1248,0.0
9336,0.95
4195,0.95
8001,0.0
7378,0.95
3435,0.95
5382,0.95
959,0.95
417,0.95
5742,0.95
6728,0.95
4382,0.95
5197,0.0
1113,0.95
2689,0.0
6473,0.95
8820,0.95
7808,0.95
3411,0.95
81,0.95
4614,0.95
1374,0.0
1510,0.95
6443,0.95
3071,0.95
3016,0.0
4823,0.95
7822,0.0
93,0.95
9421,0.95
6600,0.0
4443,0.95
7602,0.95
3835,0.0
9702,0.95
4322,0.95
3394,0.95
4752,0.95
7229,0.95
9191,0.0
2361,0.95
1148,0.95
5666,0.95
8075,0.95
4943,0.95
3663,0.95
1563,0.95
4113,0.95
9050,0.0
9276,0.0
8538,0.95
795,0.95
5854,0.0
7619,0.0
1594,0.0
7418,0.0
5267,0.0
7147,0.0
89,0.95
8695,0.95
9732,0.0
9446,0.95
6754,0.95
3502,0.0
2234,0.0
2803,0.95
4424,0.95
5663,0.95
7170,0.0
8337,0.95
2148,0.95
7969,0.95
6551,0.95
7643,0.95
6164,0.95
1495,0.95
7696,0.95
7094,0.0
1409,0.95
6691,0.0
3401,0.95
109,0.0
5636,0.0
8482,0.95
6604,0.95
1091,0.95
5560,0.0
9412,0.95
8143,0.95
8664,0.95
6596,0.0
624,0.0
6871,0.95
4814,0.0
6553,0.0
7530,0.95
5796,0.0
7437,0.95
4218,0.95
5941,0.0
8501,0.0
6429,0.95
6827,0.95
4131,0.95
7802,0.95
7754,0.0
