id,is_poisonous
3967,1
7832,1
6358,1
2468,0
1144,0
7108,1
7650,0
281,0
6493,1
2886,0
6866,1
3597,1
3234,0
5989,1
1005,0
813,1
5818,1
1554,0
4647,0
428,0
5005,0
6753,1
143,0
5168,1
2920,0
2881,0
3563,0
4771,1
5186,1
1713,0
6317,1
7204,0
4126,1
4198,1
68,0
322,0
1690,0
167,0
3624,0
5934,1
90,0
2837,0
793,0
4893,1
5791,1
5879,1
623,0
4362,1
1483,0
3338,0
7393,1
3839,0
6375,0
6652,1
3329,0
4790,1
4986,1
4564,1
2865,0
3362,1
3572,1
7172,1
5296,1
3510,0
6499,1
1606,0
2257,0
5977,1
585,0
7451,1
3653,1
1716,0
2855,0
5901,1
1095,1
1796,0
6523,1
2146,0
2928,0
361,0
6167,1
317,0
5356,1
4848,1
146,0
4444,0
3026,1
5875,0
4885,1
3137,0
7051,0
7466,1
6863,1
2310,0
1178,0
5312,1
3230,0
3503,0
5591,1
5877,1
2323,0
7544,1
6724,1
2870,0
7151,1
7190,1
3571,0
5197,0
3302,0
8070,1
7572,1
2374,0
5677,1
2768,0
5300,1
6767,1
1984,0
1806,0
5333,1
828,0
3906,1
6400,1
3451,1
5714,0
2704,0
1082,0
1120,0
6309,1
7702,0
910,0
3981,1
2799,0
7822,1
7696,1
5153,1
2950,0
960,0
1481,0
6188,1
2963,0
72,0
455,0
3873,1
6056,1
4141,0
6078,1
1364,0
7529,0
684,0
6658,1
6618,1
2764,0
7249,1
6373,1
3317,0
3923,0
5985,1
2576,0
4933,1
559,0
5301,1
5762,1
4351,1
783,0
5032,1
3570,1
7940,0
6653,1
2565,0
5564,1
5204,1
4281,1
4402,1
3673,0
7746,0
6965,1
6488,1
3411,1
6089,1
5732,0
3034,1
5428,1
2454,0
6291,1
7710,0
1916,1
56,0
6518,1
4541,1
2448,0
1382,1
4657,1
285,0
2460,0
2470,0
7386,1
192,0
5716,1
2890,0
7088,1
3117,0
5806,1
1271,0
5667,1
4463,1
3409,0
2204,0
4939,0
7828,0
4870,1
4931,0
3877,0
4195,0
739,0
6222,1
3165,1
907,0
7805,1
2999,0
8011,0
7175,1
3726,1
903,0
2427,0
4087,0
3188,1
3118,1
5959,1
1280,0
5525,0
5171,1
6919,1
5173,1
6306,1
4591,1
6992,1
5385,0
6136,1
5764,0
1759,0
3412,0
4852,1
2384,0
2253,0
2663,0
2388,1
4504,1
1509,0
926,0
174,0
7135,0
5304,1
7990,1
3938,0
4642,1
631,0
92,0
6614,1
3248,1
223,0
6778,1
1012,0
4212,1
742,0
4489,1
5945,1
1727,0
2278,0
1718,0
2397,0
1568,1
1135,0
7385,0
6962,1
765,0
5410,1
2824,0
7921,0
1783,1
4345,1
7506,1
4116,1
2287,0
2124,0
425,0
2196,0
2796,0
2451,0
2166,0
1411,0
2880,0
1097,0
69,0
6565,1
535,0
6426,1
1413,0
1934,0
2002,0
5660,1
660,0
930,0
762,0
7619,1
969,0
7564,0
7058,1
6290,1
2400,1
6930,1
2091,0
6336,1
3427,0
1401,0
1684,0
3733,0
5283,0
2504,0
5532,1
2149,1
8036,0
4905,1
2076,0
982,0
4249,1
963,0
3373,0
3220,0
1624,0
1414,0
4144,1
5421,0
1551,0
4975,1
7243,1
5741,0
384,0
1286,1
7730,1
5999,1
2439,0
2970,0
4031,1
4077,0
7595,1
1891,0
2270,0
3262,1
24,0
7129,1
5207,1
8056,0
3788,0
7327,0
4447,1
3774,0
163,0
6423,1
6171,1
181,0
5120,1
1745,1
7144,1
1604,0
3155,0
1177,0
2740,0
4610,1
4691,1
2112,1
3581,1
5605,1
665,0
1982,0
4356,1
1804,0
434,0
8078,0
147,0
5812,1
5935,1
4909,1
819,0
1813,0
5272,1
6094,1
2114,0
980,0
4938,1
2071,0
3100,0
372,0
2014,0
7601,1
6650,1
5936,1
4886,1
5871,1
3646,0
2068,0
4983,1
7724,0
7566,0
7927,0
5534,0
1174,0
289,0
904,0
1675,0
7818,0
400,0
4594,1
32,0
4067,1
779,0
4282,1
7963,1
5012,1
1927,0
6289,1
7792,1
2011,0
7588,1
1356,0
7478,1
7996,0
6905,0
6588,1
5092,1
5167,1
1206,0
57,0
1960,0
48,0
1329,0
4146,1
1914,0
127,0
5038,1
5678,1
7899,1
3060,1
3905,1
3614,1
7281,0
2502,0
4344,1
7888,1
1309,0
5915,1
3809,0
5046,1
6247,1
3794,1
2398,0
5116,1
7252,1
5978,0
3168,1
436,0
5610,1
1069,0
5790,1
4271,1
5710,1
6161,1
3925,1
4650,1
1512,0
3270,1
4169,1
526,0
7437,0
4478,1
7856,1
7324,1
7878,0
1399,1
3903,1
383,0
7777,0
5527,1
7346,0
4291,0
1207,1
3583,1
63,0
7671,0
6185,1
5625,1
5872,1
6022,1
8018,0
7158,0
3501,0
3182,1
6546,1
2434,0
2603,0
2126,0
6643,1
3367,0
3174,1
7185,0
2506,0
1446,0
2954,0
6991,1
6680,1
518,0
2951,0
6815,1
2266,0
2952,0
330,1
7997,1
2825,0
722,0
3393,1
3904,1
5588,0
3736,0
337,0
2738,0
2802,0
6649,1
1533,0
5248,1
1282,0
6973,1
1062,0
4946,1
3982,1
6432,1
5621,1
1699,0
7834,0
39,0
2047,0
5720,0
4193,1
810,0
3716,0
6988,1
3516,0
6553,1
91,0
6515,1
4763,1
130,0
8031,1
7467,0
7481,0
6922,1
3697,1
1325,0
1837,0
4183,0
5270,1
4441,1
6862,1
7037,0
5187,1
7599,1
1962,0
2231,0
178,0
1264,0
3272,0
6279,0
6182,1
582,0
3048,0
4959,1
6076,1
1983,0
5788,1
5250,1
6607,1
1717,0
3324,0
7486,0
4094,1
6997,0
3097,1
5047,1
2211,0
3429,0
2467,0
1145,0
7370,0
5193,0
7757,1
4930,0
3004,1
4766,1
3895,1
2136,0
4981,1
6443,1
1791,0
2639,0
6771,1
1032,0
6545,1
3532,0
4227,1
6355,1
3242,1
2019,0
6419,1
6977,1
7229,0
2367,0
6278,1
7602,0
2900,0
5144,0
1647,0
633,0
2123,0
3121,0
5029,1
4450,1
3752,0
3879,1
1227,0
6974,1
1961,0
1277,0
869,0
3441,1
7300,0
3889,1
4497,0
2444,0
7050,0
7380,1
7092,1
1334,0
4000,0
6034,1
2053,0
5192,1
3214,0
2144,0
6128,1
2687,0
7738,1
6347,1
1642,0
3654,1
4082,1
6377,1
3695,0
5643,1
6561,1
4964,0
1535,1
1386,0
6633,1
2109,0
860,0
6275,1
4001,1
5329,1
7468,0
3631,0
5483,1
6639,1
6436,1
5058,1
835,1
6000,1
5442,1
4475,1
276,0
4066,1
5141,1
3534,0
757,0
4377,1
4891,1
3464,0
1230,0
7379,1
6656,1
5465,1
2265,0
89,0
2895,0
5990,1
802,1
6227,1
1781,0
6108,1
3176,0
4708,1
6265,1
6606,1
411,0
3040,1
135,1
1255,0
5353,1
4960,1
1478,1
4769,1
6784,1
2409,0
705,0
7809,0
6721,1
7755,1
7677,1
7949,1
3765,0
4942,1
5520,1
4859,0
3756,0
621,0
4203,1
7863,1
96,0
4549,1
7885,1
251,1
4611,0
2821,0
3387,0
5782,1
3365,1
2823,0
3937,0
6024,1
5799,1
2064,0
986,0
7469,1
7658,0
3256,0
233,0
3592,0
3620,0
6091,1
4312,1
7762,0
8006,1
4457,1
928,0
2741,0
5454,1
5815,1
2202,0
4166,1
7044,1
4742,1
5619,0
519,0
7744,0
8053,1
2542,0
883,0
4492,1
5259,1
5512,1
5292,1
310,0
5770,1
1592,0
2574,0
186,0
