id,gill-attachment,pore_density_index,is_smelly,cap_firmness_index,airflow_intensity,stalk-shape,veil-color,stalk-color-below-ring,population,fiber_thickness_score,cap-shape,bruises,cap-surface,stalk-surface-below-ring,stalk-surface-above-ring,spore-print-color,stalk-color-above-ring,cap-color,gill-color,dark_spore_print,habitat,soil_mineral_level,cap_radiation_index,has_ring,gill-spacing,stalk-root,odor,forest_canopy_density,ring-number,gill-size,spore_dispersal_score,local_humidity_index,ring-type,surface_moisture_level,veil-type,is_dangerous
2327,f,0.005213346973517982,0,-0.8162192266205438,1.1422326135923446,t,w,p,v,0.7735405928586261,f,t,y,s,s,n,p,g,u,1,d,-1.194280319979907,-0.2653709966893622,1,c,b,n,-1.1257343529862698,o,b,0.9842226397258127,-0.5448520966356094,p,0.24279181109512263,p,1
4773,f,0.22539469957827057,1,-0.40531294279036817,-0.7645708549878288,e,w,p,v,1.1291865282456237,x,f,y,k,k,h,n,y,h,1,p,-0.7881645704320107,-0.7726877360115232,1,c,b,f,-1.0707683170996383,o,b,1.822061140427303,0.0838560178133926,l,0.27065823385222715,p,1
922,f,-1.0121939693019963,1,0.8540320612351875,-0.03662753272249312,e,w,w,n,-0.806964686439436,x,t,y,s,s,k,w,y,n,1,g,-1.0129084070162964,-2.0933344942011014,1,c,c,l,-0.40171739255403877,o,b,0.0795181575531508,-1.2638625879111838,p,-0.9126061921077914,p,1
2894,f,-0.28734447568354304,0,1.1330308187216436,-0.7623910976441952,t,w,p,v,-1.365259456770943,f,t,f,s,s,k,p,g,p,1,d,0.15705200951933665,-0.9747771683531736,1,c,b,n,0.9990929142121242,o,b,0.4760515388374854,-1.1084657088099332,p,-0.4603043845625302,p,0
4864,f,-1.255809665891577,1,-0.37278571121318677,-0.8873243578874499,e,w,p,y,1.3492245472853643,f,f,y,k,k,h,p,g,h,1,g,-0.523607237376983,-0.9462779020981836,1,c,b,f,0.17498764447595427,o,b,-0.7386712413783124,0.04885868505595986,l,-0.7282444334917635,p,1
2743,f,2.5228755695971703,0,-2.877850151340389,-0.8966344776090539,t,w,g,v,-1.2576363743505876,f,t,y,s,s,k,p,n,p,1,d,0.4723163508806683,-1.4866032832038294,1,c,b,n,0.5986139789954824,o,b,0.13074209051015914,0.3843108069502067,p,-1.0285651484486498,p,0
8065,a,0.0806798853002871,0,2.475511123295525,0.9086041842070689,e,o,o,v,1.126869594034611,k,f,s,s,s,b,o,n,y,0,l,-1.6105344409372815,-0.7452053375496085,1,c,?,n,-0.022245058522614804,o,b,-1.9350426486486343,0.2868822654947228,p,-0.9270928303658144,p,0
3830,f,-0.23882037049138166,0,0.5658115720868266,-0.8834712011510105,t,w,w,y,0.10466440630646483,f,t,y,s,s,n,p,g,n,1,d,-0.019227976853465407,1.2063883206811508,1,c,b,n,0.020810880342318244,o,b,-0.15092466662564424,-0.19901197938007845,p,-1.3055239031696757,p,0
381,f,-0.2587863915599332,0,0.0498000345219375,0.24529593663727614,t,w,w,s,-0.06395233187832489,x,f,s,s,f,n,w,w,k,1,g,1.045960153214225,-1.011455852629452,1,w,e,n,-0.7588783416521854,o,b,-1.5083213617900313,0.7211939679970016,e,-0.32907476919651824,p,1
5838,f,-0.5287406183585536,1,1.8255761429284958,-0.12038119662071743,t,w,w,s,0.3270804293008874,f,t,s,s,f,h,w,g,p,1,u,-1.2021378110374266,1.39280793265192,1,c,b,f,1.291982431199678,o,b,-1.1745706826495683,-1.2022579784509844,p,-0.19907166159309786,p,1
2151,f,0.5064421040421301,0,1.3724431805642519,0.7366424924930411,t,w,g,y,0.11673888250521626,f,t,f,s,s,k,g,n,p,1,d,-0.4136802637948095,0.08172808685186043,1,c,b,n,0.06940767233541208,o,b,1.313251120618651,0.027262370699526885,p,-0.9662271349267902,p,0
8035,f,-0.09097938178444875,0,0.4172244544195296,1.2265148877633454,e,w,w,n,-1.7123454209091393,b,f,f,s,k,w,w,w,p,0,g,-0.8053809872287314,0.42800891188696283,1,w,?,n,0.03621213918052357,t,b,-0.5990045268123695,0.09981051162335251,p,-2.769830911675961,p,0
3632,f,1.7214588964326363,1,0.44107568017116194,0.2101385578522842,e,w,w,s,0.10425808618534001,x,f,s,s,s,k,w,g,u,1,d,-0.9936459939015374,-1.7061287385407926,1,w,b,c,-0.826779801146267,o,n,-0.7596249895836095,0.14102218041149614,p,-1.4064802420048998,p,1
4938,f,-0.40433284890516535,1,-0.20619902215760583,-0.0708346525625048,t,w,w,v,0.19379902849177966,x,f,y,k,s,w,w,n,b,0,p,-0.4823353015532037,-0.387225100969452,1,c,?,s,0.38476203013803034,o,n,-0.7458414480592321,-0.15972826360453118,e,-0.08644865541402229,p,1
1511,f,-0.2834097747702,0,-0.0031942828910650643,0.5819872329825627,t,w,w,s,1.7010843062181855,f,f,s,s,s,k,w,g,k,1,g,0.7932621906477206,-0.6140885833460413,1,w,e,n,0.799396981638203,o,b,-0.6569046047016496,-0.40962525430350366,e,-1.0904336546709064,p,0
279,f,-0.4662456513443391,1,0.6319096665579241,0.26815084500479924,e,w,w,n,1.1497725901185043,x,t,s,s,s,n,w,y,k,1,m,0.36884577882514225,0.8842527733840926,1,c,c,l,1.1476122847571364,o,b,0.39693240467661023,0.8156771958595812,p,1.318810060122396,p,1
348,f,0.12803420763797957,0,0.2978244424866034,2.0227610294717415,t,w,w,s,0.13281839312141236,f,f,s,f,s,k,w,g,n,1,g,-0.35468008118831434,-1.7714889054995482,1,w,e,n,1.1148048291816826,o,b,0.8965118265152605,-0.2062622753143677,e,0.2716534029927614,p,0
