id,chemical_signature_1,gill-color,spore-print-color,veil-type,cap-surface,region,ring-type,stalk-color-below-ring,local_humidity_index,spore_dispersal_score,chemical_signature_2,stalk-color-above-ring,fiber_thickness_score,soil_mineral_level,ring-number,risk_synergy_index,chemical_signature_3,stalk-root,has_ring_flag,habitat,pore_density_index,forest_canopy_density,cap_radiation_index,stalk-surface-below-ring,gill-attachment,airflow_intensity,stalk-shape,bruises,population,stalk-surface-above-ring,gill-size,surface_moisture_level,gill-spacing,veil-color,cap-color,dark_spore_flag,cap-shape,cap_firmness_index,is_dangerous
6952,-0.8870900281178068,w,w,p,f,region_forest,p,w,-1.111527585594048,0.08849403414423598,0.5354100551685264,w,-0.5154331251180804,-0.5699620308081563,t,0.0,-0.7365113829240761,?,1,g,-0.36917531981727764,0.030838831326383553,0.24552800015881326,s,f,0.40491176491778463,e,f,s,s,b,-0.045344446463496176,w,w,w,0,x,0.135796348587054,0
4288,0.0741966857587279,g,h,p,f,region_other,l,b,-2.343014678325416,-0.4043012235484733,-0.43621080734224144,b,-0.4844370614942753,0.28178836102692695,o,0.0,-0.016451894814222975,b,1,d,0.7649858205440566,1.0317446156853585,-1.0328744699831622,k,f,-0.06100451633399653,e,f,v,k,b,1.2806739674692367,c,w,y,1,x,0.7658651264971831,0
4886,0.19337814414964974,g,h,p,y,region_forest,l,n,-0.2686133194150184,0.16143779321700366,-0.4099215250292304,n,0.6750834180240459,0.2743061309632427,o,1.0,-0.057967028400444084,b,1,g,1.40365685587738,-0.5305805018594915,-0.08908064288203663,k,f,1.7460965570159803,e,f,v,k,b,-0.7518809181361928,c,w,y,1,x,-0.5947465284025433,1
2197,-0.6384557864492997,u,k,p,f,region_other,p,p,0.15036689813689866,0.15055539439103272,0.2507286936510112,w,-1.3881935388092603,-2.0524208250848615,o,0.0,-0.9869393583771187,b,1,d,-0.2848822982662347,0.2502030522021633,-0.11567708213472,s,f,-0.894966920800275,t,t,y,s,b,-1.4647471302726052,c,w,g,1,x,0.02926342150421162,0
233,-0.8027750662993789,k,k,p,f,region_urban,p,w,-0.18969293899037012,-0.05715327471413661,0.5222142321747443,w,1.8293760938911672,0.5093131675801678,o,0.0,-1.186914784654245,e,1,u,-0.11382779845242562,-2.182487592941074,-0.4419518297866517,s,f,-0.5657525770465316,e,f,v,s,n,1.1400511859215476,c,w,n,1,f,0.08347731870697218,0
6909,-0.08826792354415383,b,w,p,y,region_plains,e,w,0.4766024354492664,0.08963779121850042,0.1321978253757039,w,1.317956377391612,1.2145780171761562,o,0.0,-0.09326675015913721,?,1,p,0.07475771212841531,-0.42292796284947065,0.9115384357487276,s,f,-0.1666503918191378,t,f,v,s,n,-1.3084879687007418,c,w,e,0,k,-0.016660476090602703,0
7614,-0.4704744573196946,b,w,p,s,region_plains,e,p,0.928022050711606,0.577328052418913,-0.5410684524745395,p,-1.4106817780853493,-0.6455597791421038,o,0.0,0.8780733417466268,?,1,p,-1.95519601608075,-0.8004102189949678,0.6021966191451382,k,f,0.16835863933394526,t,f,v,s,n,0.9352026594610058,c,w,e,0,k,-0.6130917495197014,0
6954,0.244560012673528,b,w,p,s,region_plains,e,p,1.2856092312973388,0.07683401789845905,-0.0716190770907281,p,0.5465583874236083,0.4575249568307848,o,0.0,-0.06826020300214106,?,1,p,-0.3366665762416692,-1.7802334141896694,-1.6362285199011162,k,f,-2.18468179026967,t,f,v,s,n,-0.7230182314778295,c,w,n,0,f,0.25183831515693467,0
3328,0.0891904018009187,g,h,p,f,region_plains,l,b,-0.8035381516158223,-0.3514418984967621,-0.23616371233443734,b,-0.032953316694815174,0.8176131877913194,o,0.0,0.13224023802199256,b,1,p,0.1590501530933925,0.8311808789502528,1.5488947966372708,k,f,0.2053459730940113,e,f,y,k,b,-0.15575461621944514,c,w,g,1,x,-1.3129461700845408,1
1281,-0.8557850825486265,n,n,p,s,region_forest,e,w,-1.2293576415542136,0.32189429781926454,0.16347109325946016,w,-1.6620350145590135,0.9144363923203694,o,1.0,-1.0569102704768747,e,1,g,-0.467678662576772,0.34139146405148196,1.4312411622697123,s,f,0.3108049757946717,t,f,a,s,b,-0.2781199784979977,w,w,g,1,x,1.486533099255932,0
