id,broke_chair
1932,0
917,0
1042,0
2322,0
2574,0
1666,0
2199,0
2276,0
1263,0
2553,0
2489,0
1664,0
662,0
1401,0
985,0
673,0
2722,0
1063,0
1052,0
457,0
1058,0
1511,0
2280,0
2449,0
2222,0
1656,0
190,0
2002,0
631,1
407,1
2671,1
1155,0
2103,1
1872,0
420,0
255,1
2016,0
1937,0
2878,0
2916,1
2471,0
506,0
2312,0
524,0
1813,0
1684,0
1164,0
2186,0
318,0
1166,1
1521,0
1755,1
1899,0
1190,0
1270,0
667,0
236,0
2903,0
61,0
1990,1
2985,0
414,0
1734,0
21,0
808,0
2632,1
2573,0
332,0
1973,1
157,1
2669,0
2584,0
956,0
2631,0
2463,0
2305,1
1827,1
327,0
646,0
2060,0
1948,0
2218,0
1169,0
1630,0
2290,1
653,0
1255,0
464,0
2462,0
2093,1
1383,0
215,0
1674,1
2700,0
35,0
1716,0
1292,1
1419,0
1502,0
291,1
188,0
1312,0
2890,0
2628,0
864,0
910,0
339,0
376,0
136,0
813,0
2031,0
1931,0
750,0
924,0
1201,0
1789,1
1469,0
1452,0
1089,0
2829,1
2480,0
772,0
989,0
702,0
96,0
2229,0
905,1
2993,0
1961,0
25,0
502,0
2674,0
754,1
973,0
936,0
1061,0
2953,0
1812,0
415,0
1237,0
2988,0
545,0
419,0
2359,1
1435,0
688,1
999,0
993,0
1066,0
91,0
354,1
2946,0
2356,0
2485,0
2325,1
776,0
677,0
2442,0
2498,0
2833,0
1346,0
426,1
1958,0
2263,0
2164,0
472,0
1866,0
1691,0
2198,0
1593,0
1780,1
2328,0
2160,0
771,0
2350,1
978,0
265,0
2970,1
2520,0
2058,0
2106,0
2778,1
622,0
221,0
743,0
2378,0
1450,0
1604,0
664,0
2360,0
2072,0
1444,0
98,1
1651,0
2166,1
1016,0
1943,0
2515,0
859,0
824,0
1171,0
942,0
416,0
1491,0
2125,1
829,0
2487,0
2188,1
393,0
2828,0
162,1
311,1
1839,0
2670,1
1784,0
2892,1
320,1
2749,0
1389,0
2112,0
1529,0
1690,0
286,0
1939,0
2357,0
1203,1
1258,1
946,1
1337,0
2447,0
1865,1
1744,1
1613,0
2352,1
231,0
1823,0
1451,0
2469,1
2710,1
2969,0
1963,1
1133,0
590,0
324,1
1232,0
1819,0
1082,0
2225,0
2755,0
2493,0
467,1
398,0
887,0
2143,0
1626,0
1542,0
126,1
1286,0
935,0
1946,0
2061,0
1663,1
1374,0
1821,1
983,1
1796,1
741,0
2289,0
143,0
1979,0
1991,0
2307,0
2756,1
1788,0
1586,0
2805,0
1982,0
2667,0
1767,0
1212,1
2646,0
477,0
730,0
1925,0
60,0
2966,1
585,1
1465,0
2419,0
1619,0
959,1
2317,0
562,0
1759,0
1446,1
650,1
636,0
417,1
130,0
186,0
165,0
2193,0
1623,0
2178,1
2395,0
880,1
2702,0
1641,0
2896,0
2737,0
2240,0
2465,0
963,0
2971,0
2431,1
33,0
1418,1
2358,1
761,1
921,0
2450,1
113,0
1130,0
2832,0
1860,0
531,0
2334,0
672,0
1273,0
305,0
593,0
1841,0
546,1
1883,0
699,1
2477,0
2497,0
2144,0
1396,0
2563,1
456,0
2732,1
2675,0
111,1
2133,0
2991,0
1,0
381,0
90,1
1562,0
2316,1
1365,1
2734,0
2720,0
1275,0
819,0
2979,1
1678,0
1642,0
1671,0
1732,0
373,0
695,0
2571,1
1775,1
1468,0
134,0
334,0
2745,0
2588,0
875,0
279,0
2651,0
1686,0
2102,0
2663,0
839,0
1933,1
1241,0
329,0
74,0
