id,will_eat_bun
2426,1
1024,0
2106,1
402,0
357,0
1931,1
2364,1
2433,1
158,1
405,1
1344,0
2021,1
1627,1
2493,1
330,0
1776,0
1313,1
719,0
1857,1
2044,0
863,1
1741,1
1203,1
997,0
1765,1
412,1
1980,1
2189,1
601,0
619,1
1086,0
2204,0
785,0
1291,0
91,0
714,0
686,1
2437,1
685,1
1130,0
226,1
2042,1
2366,1
1925,0
1565,1
748,0
783,0
1346,1
1180,0
2306,0
616,1
1811,0
2281,0
2289,0
1422,1
1193,1
1125,0
1174,1
67,1
1569,0
1697,1
683,1
2210,1
1766,1
980,1
1521,0
1195,1
1592,1
66,1
1453,1
2175,0
2103,1
2220,1
132,0
1754,1
1865,0
922,1
2051,0
806,0
477,0
833,1
2064,0
2335,1
424,0
1599,1
2183,1
1936,0
413,0
105,1
398,1
90,1
1958,0
2057,0
2026,1
818,1
1265,0
2176,1
2285,1
109,1
256,1
2270,1
879,0
2102,0
522,1
2272,1
2239,0
484,1
1816,1
1544,1
96,1
1580,1
391,1
525,0
1168,1
465,1
1951,1
1598,1
162,1
1545,0
2497,1
1962,0
1921,1
1036,1
908,0
790,1
150,1
1088,0
2081,0
1015,1
1247,0
1381,0
301,1
283,0
40,0
174,1
1641,0
1539,1
1461,0
1101,0
252,1
840,1
1096,1
1242,1
2271,1
849,1
1935,1
735,0
244,0
739,1
2418,1
161,1
380,1
255,1
878,1
1722,0
1081,0
235,0
989,0
25,0
83,0
1209,1
807,1
1298,1
830,0
2098,0
812,1
334,0
61,0
2201,1
2383,1
1037,0
204,0
526,1
943,1
1134,1
2468,1
1595,1
566,1
973,0
2416,1
2075,1
2135,1
75,0
1294,1
893,1
2424,0
311,1
1985,1
1449,1
2016,1
1943,0
318,1
2339,1
2093,1
1649,1
160,0
1564,0
1447,1
1175,0
2207,1
148,1
1653,0
1700,0
1823,0
1892,0
771,1
1659,1
944,1
1188,1
1450,0
404,0
293,1
5,0
1994,1
1310,1
1709,1
929,0
1809,1
1953,0
1271,1
539,0
1917,1
242,0
1102,0
2049,0
181,1
1506,1
913,0
1861,1
1976,1
1658,0
2100,0
1618,0
14,1
2490,1
1269,0
36,1
86,0
58,0
740,1
51,1
2453,1
2479,0
2198,1
2197,0
1149,0
1750,0
434,1
2254,0
937,0
286,1
1828,0
2427,0
1068,1
492,1
882,0
2063,0
1290,1
2373,1
2454,0
2451,0
81,1
1796,0
775,1
227,1
1524,1
2432,0
1220,0
2143,1
332,0
805,1
789,1
1526,1
1691,0
2118,0
521,0
1016,1
2155,1
485,1
442,0
2365,1
116,1
2258,1
1984,0
1755,0
1379,1
2288,1
359,0
1494,1
2417,1
1784,0
795,0
971,1
1484,1
28,0
1194,0
2191,0
1460,0
2047,1
2186,1
2320,1
472,1
1979,1
1311,1
709,1
987,1
993,1
1138,1
1038,1
1862,0
1324,0
540,0
634,1
469,1
48,1
420,1
1132,0
111,0
2069,1
510,0
2397,1
816,1
1549,0
1628,1
984,0
1093,1
2448,1
832,1
2065,0
356,0
1532,1
260,1
737,1
2376,0
1996,1
13,0
1906,1
1604,1
707,1
213,1
647,0
1803,1
1091,1
898,1
1087,0
9,0
1518,0
110,1
554,0
2495,1
1210,0
324,1
1525,1
928,0
1350,1
1578,1
1219,1
920,0
427,0
1407,1
494,1
1636,0
458,1
2164,0
814,0
1244,0
1820,0
1369,0
389,1
2214,1
441,1
2346,1
1507,1
2041,0
300,1
1529,0
1299,0
2399,0
1200,1
2362,1
189,0
1609,0
855,0
1847,1
702,1
266,1
2351,1
911,1
246,1
1606,1
1198,1
614,0
1867,1
1373,1
654,0
445,0
649,1
1047,0
475,0
1263,0
1163,1
1083,0
1711,0
2444,0
136,1
308,0
1835,1
1155,1
628,1
1140,1
2330,1
2124,1
895,1
80,1
1267,0
858,0
1458,1
297,1
682,1
2054,0
664,1
846,1
2389,0
1662,0
1233,0
1535,0
167,1
2374,1
1282,0
1834,0
2159,1
983,0
97,0
757,0
344,1
1607,1
85,0
802,1
267,0
2097,0
1846,1
2105,0
2144,0
1674,1
620,0
752,1
1179,1
873,1
1371,1
2150,1
2236,1
880,0
1072,1
63,0
265,1
696,1
594,0
408,0
1436,1
758,1
520,0
2494,1
50,1
1798,0
306,1
374,1
529,1
721,0
2184,1
689,1
1738,1
229,1
340,1
584,1
1157,1
954,0
2269,0
1640,1
697,0
2085,0
1316,1
1010,1
1968,0
460,1
106,1
1677,1
1762,1
1668,1
193,1
453,1
530,1
801,0
2341,1
1472,1
353,1
406,0
1002,1
938,1
1364,1
561,1
