id,cat_run
1314,1
1221,1
2389,0
2794,1
85,1
2552,0
1895,0
1881,1
1549,1
2993,1
11,1
1413,1
1706,0
349,1
2234,0
1443,1
2081,0
1286,0
1351,0
1278,0
243,0
1276,0
556,0
895,1
776,1
1634,0
546,0
2807,0
314,1
2019,0
1956,1
2302,0
1039,1
1692,0
2881,1
1159,0
2733,0
2317,0
2858,0
201,1
1716,0
2496,1
725,1
995,0
1149,0
2542,0
1760,0
2307,0
1145,1
2100,1
488,0
1546,0
2571,0
1497,1
2459,0
657,0
837,1
268,1
1010,0
2994,0
2946,1
158,1
617,1
1959,0
2851,1
360,0
1183,0
770,1
470,1
1486,1
105,1
2613,0
2014,1
2602,1
1698,0
1017,0
2880,0
2999,1
1843,0
662,0
2859,0
824,0
1512,1
970,1
2971,0
2406,1
1454,0
2093,1
537,0
2188,1
1576,1
1335,1
368,1
2099,1
2548,0
1139,1
1283,1
1703,0
2470,0
1732,1
2803,0
1152,1
862,0
1085,0
553,1
2376,0
595,0
2379,0
2499,1
1731,0
2293,0
534,0
46,0
1014,0
2610,0
1455,1
244,1
2799,1
2836,0
1533,1
1034,0
1447,1
214,0
2872,0
2979,1
573,0
2103,0
779,0
554,0
1720,1
622,1
1258,1
1527,1
1508,1
608,0
122,0
1369,0
378,1
701,0
1519,0
984,1
846,1
187,0
199,0
1334,1
2246,0
333,0
49,0
2550,0
2391,0
116,1
742,0
2278,0
1538,0
1511,0
396,0
1456,1
45,1
1025,0
808,0
2477,0
416,1
1601,1
1231,0
2354,0
1380,1
1138,0
2535,0
1526,0
2690,0
338,1
2732,1
703,1
2047,0
2912,1
36,0
1790,1
2938,0
1459,1
1571,0
1819,1
576,0
302,0
2937,1
1556,0
1076,1
2229,0
2205,1
2295,1
1682,0
1216,0
2162,1
1721,0
58,0
30,1
2982,0
1666,0
127,0
481,1
991,1
1669,0
2835,0
2876,0
2385,0
2645,1
1707,0
2211,1
1391,1
1151,1
1870,0
2561,0
2372,0
1096,1
2425,0
2152,0
8,0
2879,0
98,0
2544,1
1789,1
2508,1
2708,1
2384,1
43,1
1140,1
1898,0
1647,0
1387,0
238,0
1000,1
1490,0
96,0
2460,0
1834,1
428,0
1498,0
1755,1
2636,0
154,1
2962,0
1995,0
2518,1
2934,1
2500,0
1727,0
1992,0
1910,0
1363,1
2042,1
309,1
802,0
2443,1
437,0
104,0
1885,1
82,0
2839,1
1410,1
1844,1
821,1
1830,1
1225,0
1260,1
820,0
224,1
231,0
933,0
2109,1
2199,0
1107,0
310,1
2018,0
1471,1
1643,0
685,0
377,0
1191,0
142,0
2847,0
2185,0
1320,0
343,0
2401,0
592,1
2746,1
1032,0
2563,1
1724,1
601,0
2557,0
600,0
2755,0
465,0
129,0
1648,1
1773,1
321,0
2242,0
68,1
233,1
2316,0
1524,0
2860,0
2223,0
306,1
1227,0
973,0
589,1
792,0
1657,0
2041,1
2023,1
2773,1
1082,1
162,1
2114,0
2323,1
1432,0
2,1
1697,1
614,1
2849,1
1674,0
1173,0
1483,0
1325,1
246,0
1009,1
1700,0
1781,0
1360,0
1999,1
2361,0
1710,1
2726,1
1481,1
2344,1
2363,1
1711,0
1120,1
1200,0
1798,1
1438,1
1756,1
289,1
256,0
156,0
1651,0
2235,1
2022,1
574,1
137,1
226,1
1006,0
2449,1
1238,1
263,0
474,1
829,0
2597,0
1681,1
1287,0
1528,0
18,1
1667,0
542,1
1349,1
141,0
2424,1
1134,0
2784,0
1998,0
994,0
325,1
2130,0
184,0
412,0
1062,0
1801,1
2964,0
135,0
946,0
1318,0
1557,0
356,0
2169,0
620,0
2687,0
2942,1
1541,1
2911,1
1141,0
1171,0
1269,1
220,0
218,0
1386,1
2392,1
2878,0
2517,1
715,0
1301,0
2303,0
720,0
2128,0
867,0
207,0
287,0
2819,1
1663,1
2315,1
446,1
1818,0
2845,0
2383,0
2899,1
2671,1
264,0
1392,0
613,1
645,0
1607,1
502,0
747,0
999,1
2240,1
1045,1
2157,0
533,1
2334,0
2909,0
1416,1
1306,0
968,1
2446,1
2664,0
907,0
281,0
1359,0
1941,1
2892,0
588,1
277,0
2300,1
1473,0
2368,1
804,1
387,0
203,0
2168,0
242,0
2930,0
1913,0
2929,0
108,1
1117,0
2617,0
1084,0
2003,1
816,1
1374,0
440,0
344,1
1712,0
1331,1
634,0
1980,0
800,0
2691,0
1020,1
1186,1
858,0
205,1
395,1
2512,1
1735,1
1240,1
602,1
1978,1
2071,0
1729,1
1965,1
1906,0
1466,0
397,1
744,1
719,0
295,0
2506,1
1746,0
2959,1
208,0
2287,1
1381,1
131,0
1087,0
163,0
1079,1
2524,1
22,1
1845,0
2734,0
2808,1
1281,0
67,0
2638,0
2918,0
2522,0
2429,1
717,1
2365,0
1352,0
2186,1
357,0
404,1
2523,0
2681,0
1983,0
87,1
1713,0
1714,1
2901,0
1737,0
2990,1
451,0
2978,0
1861,0
72,1
2913,0
2695,1
1379,1
1981,1
2906,1
2123,0
899,0
299,1
2272,1
1750,0
1444,1
2891,1
1253,1
1398,1
2578,1
354,1
1545,0
1254,1
1377,1
1330,0
41,0
1699,0
1996,0
2451,1
511,1
648,0
2761,0
57,1
461,1
1854,1
1518,1
20,0
1745,0
2073,0
2434,0
1474,0
1366,0
1372,0
923,0
477,0
1407,1
2203,0
1158,0
2064,1
2045,0
241,0
1531,0
2215,0
1826,1
169,0
2364,1
1476,1
883,0
2282,1
2145,0
886,1
2672,1
2085,0
1043,1
561,0
1786,1
2284,1
1468,0
874,0
389,0
630,1
509,1
1427,1
2764,0
2972,0
2411,0
245,0
