id,counts
0,214
1,465
2,318
3,448
4,156
5,286
6,209
7,462
8,203
9,440
10,161
11,280
12,324
13,159
14,444
15,316
16,478
17,375
18,229
19,404
20,414
21,328
22,298
23,103
24,151
25,208
26,217
27,408
28,466
29,111
30,118
31,441
32,116
33,167
34,330
35,463
36,135
37,425
38,285
39,131
40,316
41,428
42,344
43,325
44,233
45,234
46,311
47,442
48,247
49,193
50,302
51,473
52,237
53,231
54,136
55,395
56,235
57,464
58,457
59,384
60,196
61,410
62,451
63,181
64,172
65,176
66,235
67,187
68,469
69,147
70,176
71,460
72,136
73,122
74,362
75,171
76,405
77,213
78,134
79,223
80,131
81,492
82,460
83,254
84,332
85,267
86,138
87,307
88,240
89,177
90,265
91,232
92,363
93,477
94,316
95,462
96,255
97,220
98,171
99,322
100,294
101,296
102,302
103,441
104,304
105,172
106,191
107,476
108,168
109,483
110,201
111,351
112,217
113,125
114,129
115,207
116,302
117,382
118,346
119,408
120,312
121,422
122,449
123,176
124,182
125,364
126,483
127,281
128,231
129,331
130,464
131,333
132,214
133,229
134,343
135,420
136,342
137,497
138,184
139,378
140,416
141,101
142,227
143,169
144,452
145,345
146,110
147,197
148,207
149,231
150,305
151,417
152,242
153,156
154,281
155,382
156,433
157,296
158,330
159,478
160,455
161,344
162,103
163,170
164,214
165,158
166,358
167,464
168,263
169,444
170,141
171,427
172,426
173,399
174,425
175,239
176,339
177,370
178,103
179,170
180,491
181,459
182,489
183,325
184,243
185,361
186,279
187,434
188,145
189,131
190,435
191,443
192,126
193,153
194,360
195,376
196,394
197,231
198,315
199,210
200,336
201,295
202,430
203,404
204,397
205,419
206,246
207,282
208,315
209,247
210,345
211,421
212,108
213,436
214,415
215,251
216,174
217,151
218,276
219,167
220,345
221,300
222,158
223,265
224,182
225,433
226,232
227,496
228,360
229,249
230,398
231,383
232,235
233,392
234,218
235,157
236,416
237,177
238,216
239,192
240,162
241,435
242,319
243,414
244,302
245,492
246,385
247,438
248,262
249,351
250,245
251,320
252,483
253,401
254,266
255,275
256,218
257,256
258,105
259,336
260,313
261,179
262,220
263,265
264,370
265,106
266,151
267,128
268,276
269,114
270,397
271,187
272,269
273,408
274,113
275,356
276,163
277,208
278,234
279,406
280,321
281,147
282,181
283,460
284,470
285,166
286,106
287,252
288,195
289,327
290,305
291,182
292,392
293,194
294,223
295,374
296,137
297,137
298,110
299,475
300,153
301,108
302,307
303,136
304,363
305,383
306,492
307,194
308,414
309,438
310,463
311,231
312,336
313,230
314,481
315,393
316,265
317,280
318,206
319,221
320,127
321,394
322,270
323,315
324,479
325,442
326,193
327,291
328,457
329,198
330,480
331,429
332,488
333,105
334,161
335,140
336,312
337,461
338,295
339,274
340,216
341,280
342,168
343,360
344,164
345,275
346,384
347,198
348,446
349,469
350,128
351,150
352,126
353,341
354,405
355,168
356,266
357,129
358,197
359,250
360,210
361,250
362,280
363,375
364,179
365,180
366,289
367,234
368,267
369,318
370,348
371,472
372,342
373,377
374,339
375,246
376,229
377,247
378,461
379,130
380,491
381,280
382,296
383,475
384,218
385,125
386,280
387,313
388,188
389,475
390,446
391,345
392,214
393,201
394,243
395,421
396,472
397,181
398,316
399,249
400,418
401,287
402,409
403,227
404,497
405,176
406,226
407,470
408,415
409,200
410,230
411,277
412,455
413,397
414,108
415,239
416,201
417,182
418,463
419,483
420,156
421,304
422,199
423,382
424,199
425,490
426,466
427,304
428,209
429,396
430,262
431,448
432,420
433,399
434,400
435,336
436,472
437,261
438,284
439,102
440,176
441,192
442,147
443,143
444,118
445,421
446,171
447,444
448,115
449,223
450,257
451,345
452,196
453,315
454,224
455,285
456,304
457,236
458,290
459,311
460,216
461,259
462,265
463,443
464,168
465,177
466,487
467,171
468,295
469,240
470,459
471,182
472,352
473,121
474,318
475,242
476,298
477,293
478,134
479,111
480,195
481,270
482,458
483,366
484,415
485,170
486,351
487,443
488,145
489,478
490,384
491,208
492,431
493,254
494,340
495,108
496,180
497,193
498,367
499,461
500,221
501,474
502,112
503,147
504,497
505,421
506,414
507,402
508,318
509,479
510,118
511,491
512,468
513,368
514,393
515,441
516,326
517,122
518,265
519,355
520,463
521,272
522,258
523,153
524,222
525,290
526,326
527,328
528,106
529,190
530,406
531,377
532,235
533,185
534,308
535,119
536,245
537,225
538,102
539,332
540,163
541,231
542,248
543,268
544,145
545,420
546,430
547,277
548,312
549,241
550,420
551,383
552,323
553,485
554,160
555,408
556,300
557,329
558,191
559,269
560,338
561,235
562,147
563,331
564,254
565,404
566,411
567,165
568,408
569,179
570,483
571,162
572,184
573,222
574,459
575,414
576,376
577,130
578,377
579,286
580,385
581,439
582,286
583,233
584,404
585,160
586,379
587,496
588,187
589,405
590,282
591,260
592,324
593,291
594,275
595,465
596,259
597,499
598,388
599,451
600,339
601,364
602,347
603,489
604,324
605,143
606,413
607,311
608,333
609,401
610,265
611,430
612,402
613,429
614,382
615,219
616,289
617,228
618,297
619,455
620,387
621,208
622,309
623,282
624,261
625,335
626,140
627,482
628,179
629,389
630,164
631,390
632,421
633,275
634,398
635,207
636,327
637,320
638,320
639,462
640,301
641,285
642,377
643,290
644,308
645,228
646,323
647,280
648,360
649,132
650,201
651,195
652,364
653,284
654,292
655,222
656,159
657,274
658,175
659,280
660,389
661,145
662,167
663,244
664,428
665,471
666,399
667,181
668,142
669,476
670,315
671,251
672,436
673,224
674,161
675,339
676,282
677,277
678,108
679,417
680,390
681,256
682,125
683,292
684,190
685,489
686,239
687,252
688,415
689,375
690,148
691,397
692,330
693,145
694,339
695,249
696,427
697,302
698,151
699,178
700,103
701,456
702,286
703,194
704,184
705,378
706,364
707,130
708,347
709,293
710,215
